"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","SHR RequestedContext Extension","An order for something to take place.","","","","","","","","","",,,,,"",,,,"Extension",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Extension.extension","reason","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Reason-extension}
","","The justification for an action or non-action, conclusion, opinion, etc.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","status","","",1,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Status-extension}
","","Position in workflow.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension.extension","extension","","",0,0,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Status-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.extension.value[x]","","","",1,1,"","","","code
CodingCodeableConcept","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/request-status","",,,,"Extension.value[x]",0,1,"",""
"Extension.extension","requestintent","","",1,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-RequestIntent-extension}
","","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","expectedperformancetime","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-ExpectedPerformanceTime-extension}
","","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","expectedperformertype","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-ExpectedPerformerType-extension}
","","What type of party should carry out the testing.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","expectedperformer","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-ExpectedPerformer-extension}
","","Who should carry out the tests. For example, the patient or caregiver.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","expectedmethod","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-ExpectedMethod-extension}
","","The method that should be used to carry out the action.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","priority","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Priority-extension}
","","An indication of the importance of an action.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension.extension","extension","","",0,0,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Priority-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.extension.value[x]","","","",1,1,"","","","positiveInt
CodeableConcept","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/request-priority","",,,,"Extension.value[x]",0,1,"",""
"Extension.extension","performerinstructions","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-PerformerInstructions-extension}
","","Information for the performer of the test, if needed.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","patientinstructions","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-PatientInstructions-extension}
","","Information for the patient, such as, where to get the test, how to prepare for the test, etc.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","communicationmethod","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-CommunicationMethod-extension}
","","This is the method the provider used to communicate. Examples include: Written, Telephoned, Verbal, Electronically Entered, Policy, Service Correction, Duplicate, etc. 'Code indicating the origin of the prescription.' - NCPDP Telecommunication (Field 419-DJ, Data Dictionary 201104). Possible values include: Written; Telephone; Electronic; Facsimile; Pharmacy; Not Known.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
