"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","SHR ObservationComponent Extension","A simplified, non-separable observation consisting of a observation code, value (or value absent reason), reference range, and interpretation. The subject of the observation component is the same as in the parent observation.","","","","","","","","","",,,,,"",,,,"Extension",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}choice-1:shr-finding-ObservationComponent-extension SHALL have either extension('quantity') or extension('codeableconcept') or extension('string') or extension('range') or extension('ratio') or extension('attachment') or extension('time') or extension('datetime') or extension('timeperiod') or extension('integerquantity') {( extension('quantity').url | extension('codeableconcept').url | extension('string').url | extension('range').url | extension('ratio').url | extension('attachment').url | extension('time').url | extension('datetime').url | extension('timeperiod').url | extension('integerquantity').url ).distinct().count() <= 1}"
"Extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Extension.extension","quantity","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Quantity-extension}
","","A quantity with units, whose value may be bounded from above or below, as defined in FHIR","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","codeableconcept","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-CodeableConcept-extension}
","","A set of codes drawn from different coding systems, representing the same concept.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","string","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/primitive-string-extension}
","","A simplified, non-separable observation consisting of a observation code, value (or value absent reason), reference range, and interpretation. The subject of the observation component is the same as in the parent observation.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","range","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Range-extension}
","","An interval defined by a quantitative upper and/or lower bound. One of the two bounds must be specified, and the lower bound must be less than the upper bound. When Quantities are specified, the units of measure must be the same.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","ratio","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Ratio-extension}
","","A unit of measurement for the quotient of the amount of one entity to another.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","attachment","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Attachment-extension}
","","A file that contains audio, video, image, or similar content.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","time","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/primitive-time-extension}
","","A simplified, non-separable observation consisting of a observation code, value (or value absent reason), reference range, and interpretation. The subject of the observation component is the same as in the parent observation.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","datetime","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/primitive-dateTime-extension}
","","A simplified, non-separable observation consisting of a observation code, value (or value absent reason), reference range, and interpretation. The subject of the observation component is the same as in the parent observation.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","timeperiod","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-TimePeriod-extension}
","","A period of time defined by a start and end time, date, or year. If the start element is missing, the start of the period is not known. If the end element is missing, it means that the period is ongoing, or the start may be in the past, and the end date in the future, which means that period is expected/planned to end at the specified time. The end value includes any matching date/time. For example, the period 2011-05-23 to 2011-05-27 includes all the times from the start of the 23rd May through to the end of the 27th of May.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","integerquantity","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-IntegerQuantity-extension}
","","A Quantity that is an integer.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","valueabsentreason","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-finding-ValueAbsentReason-extension}
","","Provides a reason why the value of the observation is missing, if it is expected (some observations are not expected to have a value).","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","observationcode","","",1,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-finding-ObservationCode-extension}
","","A code that represents what the finding concerns, for example, the subject's height, blood pressure, disease status, wound dimensions, diabetes risk, etc. Although named ObservationCode, in different contexts the same attribute might be more naturally referred to as a property, observable, or test code. In assertions (observations without an explicit question), the observation code is defaulted to a value representing 'assertion'.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","interpretation","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-finding-Interpretation-extension}
","","A clinical interpretation of a finding.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","referencerange","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-finding-ReferenceRange-extension}
","","The usual or acceptable range for a test result.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","components","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-finding-Components-extension}
","","Components are parts of the parent observation. Component observations share the same attributes (such as Specimen) as the primary observation and are not separable. However, the reference range may be different for each component observation.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
