"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","SHR Finding Extension","Base class for assertions and observations. The subject of a finding can be the entire patient, or an entity such as a location body structure, intervention, or condition. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.","","","","","","","","","",,,,,"",,,,"Extension",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Extension.extension","relatedencounter","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-RelatedEncounter-extension}
","","If content was generated during a patient encounter, related encounter is the encounter where the information was gained.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","author","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-Author-extension}
","","The person or organization who created the entry and is responsible for (and may certify) the content.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","informant","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-Informant-extension}
","","The person or entity that provided the information in the entry, as distinct from who created the entry, e.g. the subject (patient), medical professional, family member, device or software program.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","subject","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-Subject-extension}
","","The person or thing that this entry relates to, usually the Person of Record. However, not all entries have health information specifically about the patient, but in different contexts, could refer to a fetus, family member (living or dead), device, location, organization, finding, condition, or intervention.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","focalsubject","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-FocalSubject-extension}
","","For use when FHIR's subject does not allow the desired type of Subject in the Finding.Subject field.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","findingmethod","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-finding-FindingMethod-extension}
","","The technique used to create the finding, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","findingstatus","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-finding-FindingStatus-extension}
","","Indicates whether the finding is preliminary, amended, final, etc..","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","evidence","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-finding-Evidence-extension}
","","A symptom, observation, or other item, for example, a radiology report, that serves as evidence for the current assessment.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-finding-Finding-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.value[x]","","","",0,0,"","","","base64Binary
booleancodedatedateTimedecimalidinstantintegermarkdownoidpositiveIntstringtimeunsignedInturiAddressAgeAnnotationAttachmentCodeableConceptCodingContactPointCountDistanceDurationHumanNameIdentifierMoneyPeriodQuantityRangeRatioReferenceSampledDataSignatureTimingMeta","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"",""
