"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: W5 Mapping"
"Basic","","Z-resource
Extension-resourceCustom-resource","",0,*,"","","","","SHR MedicationChange Profile","Description of a modification or change of a medication or dosage.","","","","","","","","","",,,,,"",,,,"",0,null,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}","Entity. Role, or Act","Act, Entity or Role","infrastructure.structure"
"Basic.id","","","",0,1,"","","Y","id
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Basic.meta","","","",0,1,"","","Y","Meta
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"Basic.implicitRules","","","",0,1,"","Y","Y","uri
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. 

This element is labelled as a modifier because the implicit rules may provide additional knowledge about the resource that modifies it's meaning or interpretation.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"",""
"Basic.language","","","",0,1,"","","","code
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"extensible","A human language.","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"",""
"Basic.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource, and may be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded in formation is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"dom-1
","","Act.text?"
"Basic.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"Basic.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","",,"open","DomainResource.extension",0,*,"","","N/A"
<<<<<<< HEAD
"Basic.extension","effectivedate","extensions
user content","",1,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-EffectiveDate-extension}
","","The date when something is to take effect.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","","N/A"
"Basic.extension","typeofchange","extensions
user content","",1,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-medication-TypeOfChange-extension}
","","Whether the change is a dose change, switch to a new medication, or discontinuation.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","","N/A"
"Basic.extension","medicationbeforechange","extensions
user content","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-medication-MedicationBeforeChange-extension}
","","The medication taken, prior to the change.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","","N/A"
"Basic.extension","medicationafterchange","extensions
user content","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-medication-MedicationAfterChange-extension}
","","A medication taken, after the change.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","","N/A"
=======
"Basic.extension","relatedencounter","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-RelatedEncounter-extension}
","","If content was generated during a patient encounter, related encounter is the encounter where the information was gained.","","","","","","","","","",,,,,"",,,,"",0,null,"",""
"Basic.extension","author","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-Author-extension}
","","The person or organization who created the entry and is responsible for (and may certify) the content.","","","","","","","","","",,,,,"",,,,"",0,null,"",""
"Basic.extension","informant","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-Informant-extension}
","","The person or entity that provided the information in the entry, as distinct from who created the entry, e.g. the subject (patient), medical professional, family member, device or software program.","","","","","","","","","",,,,,"",,,,"",0,null,"",""
"Basic.extension","type","","",1,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-entity-Type-extension}
","","The most specific code (lowest level term) describing the kind or sort of thing being represented.","","","","","","","","","",,,,,"",,,,"",0,null,"",""
"Basic.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","N/A"
"Basic.extension.extension","extension","","",0,0,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Basic.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-entity-Type-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Basic.extension.valueCodeableConcept","","","",1,1,"","","","CodeableConcept
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"required","","http://standardhealthrecord.org/shr/medication/vs/MedicationChangeTypeVS","",,,,"Extension.value[x]",0,1,"","","N/A"
"Basic.extension","category","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Category-extension}
","","A class or division of people or things having particular shared characteristics","","","","","","","","","",,,,,"",,,,"",0,null,"",""
"Basic.extension","performedcontext","","",1,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-PerformedContext-extension}
","","ActionContext indicating actual performance or execution of a healthcare-related action, e.g., 3rd dose of Hepatitis B vaccine administered on Dec 4th 2012, appendectomy performed today.","","","","","","","","","",,,,,"",,,,"",0,null,"",""
"Basic.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","N/A"
"Basic.extension.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Basic.extension.extension","reason","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Reason-extension}
","","The justification for an action or non-action, conclusion, opinion, etc.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","N/A"
"Basic.extension.extension.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Basic.extension.extension.extension","string","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/primitive-string-extension}
","","The justification for an action or non-action, conclusion, opinion, etc.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension.extension","codeableconcept","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-CodeableConcept-extension}
","","A set of codes drawn from different coding systems, representing the same concept.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","N/A"
"Basic.extension.extension.extension.extension","extension","","",0,0,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Basic.extension.extension.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-CodeableConcept-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Basic.extension.extension.extension.valueCodeableConcept","","","",1,1,"","","","CodeableConcept
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"required","","http://standardhealthrecord.org/shr/medication/vs/MedicationChangeReasonVS","",,,,"Extension.value[x]",0,1,"","","N/A"
"Basic.extension.extension.extension","content","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-Content-extension}
","","An item that can constitute the payload of an Entry, aka an EntryElement.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Reason-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Basic.extension.extension.value[x]","","","",0,0,"","","","base64Binary
booleancodedatedateTimedecimalidinstantintegermarkdownoidpositiveIntstringtimeunsignedInturiAddressAgeAnnotationAttachmentCodeableConceptCodingContactPointCountDistanceDurationHumanNameIdentifierMoneyPeriodQuantityRangeRatioReferenceSampledDataSignatureTimingMeta","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","","N/A"
"Basic.extension.extension","occurrencetimeorperiod","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-OccurrenceTimeOrPeriod-extension}
","","The point in time or span of time in which something happens.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension","participant","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Participant-extension}
","","An object (usually a Person, Party, or Organization but potentially a device or other Entity) that participates in a task or activity.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension","status","","",1,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Status-extension}
","","Position in workflow.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
